"","name","elected","ideology","list","party_member","party","age","sex","educ"
"456","Shai Agosin Weisz","0","0.815365170736467","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","45+","Hombre","Educacion Media"
"457","Macarena Venegas Tassara","0","0.949852700454365","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","45+","Mujer","Educacion Superior"
"458","Manuel Jose Ossandon Lira","1","0.034146946843364","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"459","Marcelo Amado Honorato Alonso Heredia","0","0.493779631897595","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Hombre","Educacion Media"
"460","Tania Alfaro Campusano","0","-0.914547704247216","Voces Constituyentes","Independiente","null","45+","Mujer","Educacion Superior"
"461","Alondra Carrillo Vidal","1","-1.24391993961277","Voces Constituyentes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"462","Eduardo Enrique Gutierrez Gonzalez","0","-0.964400204723615","Voces Constituyentes","Independiente","null","null","Hombre","null"
"463","Edgar Emilio Esperguel Garcia","0","-1.65145070188275","Voces Constituyentes","Independiente","null","Hasta 44","Hombre","Educacion Media"
"464","Maite Duran Massardo","0","-1.39987643874708","Voces Constituyentes","Independiente","null","45+","Mujer","Educacion Superior"
"465","Camila Cristina Meza Herrera","0","-1.35943932630462","Partido de Trabajadores Revolucionarios","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"466","Rafael Sotomayor Narbona","0","-1.49206863384035","La Lista del Pueblo Distrito 12","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"467","Beatriz de Jesus Sanchez Munoz","1","-1.40259641975496","Apruebo Dignidad","Independiente","Independiente - Revolucion Democratica (RD)","45+","Mujer","Educacion Superior"
"468","Leonardo Patricio Parraguez Gallardo","0","-1.39146213632968","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","45+","Hombre","Educacion Superior"
"469","Bastian Lorenzo Bodenhoffer Alexander","0","-1.23325257255621","Apruebo Dignidad","Independiente","Independiente - Partido Comunista (PC)","45+","Hombre","Educacion Superior"
"470","Marcela Alejandra Mella Ortiz","0","-1.42137900598773","Apruebo Dignidad","Independiente","Independiente - Partido Igualdad (PI)","45+","Mujer","null"
"471","Benito Baranda Ferran","1","-1.02100932711269","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"472","Cesar Antonio Barcenas Catalan","0","-1.15803868933516","Independientes por una Nueva Constitucion","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"473","Juan Jose Martin Bravo","1","-1.24306295835255","Independientes por una Nueva Constitucion","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"474","Maria Soledad Cisternas Reyes","0","0.173741066285898","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"475","Paola Alejandra Romero Llanos","0","-1.23356884268116","Independientes por una Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"476","Pavel Alejandro Ayala Lienqueo","0","-1.61559485519953","Independientes por una Nueva Constitucion","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"477","Pia Castelli Fenick","0","-0.672533745922976","Lista del Apruebo","Militante de Partido","Partido Por la Democracia (PPD)","45+","Mujer","Educacion Superior"
"478","Romanina Ruth Morales Baltra","0","-1.81706404936875","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","45+","Mujer","Educacion Superior"
"479","Guillermo Larrain Rios","0","-1.71276165220497","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Hombre","Educacion Superior"
"480","Christian Alejandro Munoz Paredes","0","-1.12489607740095","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","Hasta 44","Hombre","Educacion Media"
"481","Rodrigo Alfonso Rettig Vargas","0","-1.60574915183228","Lista del Apruebo","Militante de Partido","Ciudadanos (CIU)","Hasta 44","Hombre","Educacion Superior"
"482","Carola Pia Naranjo Inostroza","0","-1.61160329485759","Lista del Apruebo","Independiente","Independiente - Partido Progresista (PRO)","Hasta 44","Mujer","Educacion Superior"
"483","Paulina Del Rosario Munoz Ureta","0","-1.31867417527398","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","Hasta 44","Mujer","Educacion Media"
"484","Sergio Nicolas Alejandro Aravena Perez","0","-1.37953367142912","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Hombre","Educacion Superior"
"485","Paula Ignacia Cea Fuentes","0","-1.4282723964733","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","null"
"486","Rossana Patricia Jorquera Geroldi","0","-1.28560952962507","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","Educacion Media"
"487","Monserrat Candia Rocha","0","-1.64666012329342","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"488","Ronald Leblebici Garo","0","-1.29783041295681","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"489","Rocio Miranda Castillo","0","-1.34883202633081","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"490","Ronald Emilio Vargas Diaz","0","-0.934216505646449","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Media"
"491","Carolina Leiva Garcia","0","-1.63382643260784","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"492","Rene Orlando Valdes Lopez","0","-1.08780805059487","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"493","Camila Bustamante alvarez","0","-1.24188457961354","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Media"
"494","Maura Fajardo Galvez","0","-1.34772161708876","Independiente","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"495","Gabriel Jorge Molina Villanueva","0","0.777157944943459","Independiente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"496","Valentina Bustamante Sepulveda","0","-1.17472824518659","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"497","Maria Jose Toro Toro","0","0.121429811583984","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"498","Hans Alexis Hube Frias","0","-1.41891099488379","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","null"
"499","Cristian Eduardo Gonzalez Bastias","0","-1.38075114088151","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Media"
"500","Hector Richard Rubio Sepulveda","0","0.612544334377006","Lista por la Justicia Social","Independiente","null","45+","Hombre","Educacion Superior"
"501","Ricardo Gonzalez Hidalgo","0","0.388781822955426","Lista por la Justicia Social","Independiente","null","45+","Hombre","Educacion Superior"
"502","Catherinne Angelica Pino Beltran","0","-1.26499730198472","Lista por la Justicia Social","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"503","Eleonora Espinoza Hernandez","0","0.737252434694097","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"504","Matias Nicolas Poblete Sandoval","0","0.841865324026952","Vamos por Chile","Independiente","Independiente - Partido Republicano (REP)","Hasta 44","Hombre","Educacion Superior"
"505","Susana Hiplan Esteffan","0","0.89944991453243","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"506","Luis Alejandro Silva Irarrazaval","0","0.590691162347276","Vamos por Chile","Independiente","Independiente - Partido Republicano (REP)","Hasta 44","Hombre","Educacion Superior"
"507","Carolina Garcia Berguecio","0","1.08052499459869","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","45+","Mujer","Educacion Superior"
"508","Alejandro Andres Fernandez Gonzalez","0","0.246329958804718","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","Hasta 44","Hombre","Educacion Superior"
"509","Francisca Paz Cabrera Antoine","0","-1.38676996440216","Lista del Apruebo","Independiente","Independiente - Partido Progresista (PRO)","Hasta 44","Mujer","Educacion Superior"
"510","Nicolas Emilio Freire Castello","0","-1.40809278457591","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","Hasta 44","Hombre","Educacion Superior"
"511","Malucha Pinto Solari","1","-1.37577377202108","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","45+","Mujer","Educacion Superior"
"512","Jorge Insunza Gregorio De Las Heras","0","0.388330755102112","Lista del Apruebo","Militante de Partido","Partido Por la Democracia (PPD)","45+","Hombre","Educacion Superior"
"513","Valeria Alejandra Villegas Mayor","0","-1.35690970853667","Lista del Apruebo","Militante de Partido","Partido Radical (PR)","Hasta 44","Mujer","Educacion Superior"
"514","Rodolfo Seguel Molina","0","-1.4840991450569","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Hombre","Educacion Media"
"515","Natalia Aravena Contreras","0","-1.36741214222309","Apruebo Dignidad","Independiente","Independiente - Convergencia Social (CS)","Hasta 44","Mujer","Educacion Superior"
"516","Adriana Barrientos Castro","0","-1.27271483415901","Apruebo Dignidad","Militante de Partido","Federacion Regionalista Verde Social (FRVS)","Hasta 44","Mujer","Educacion Media"
"517","Mirko Jimenez Contreras","0","-1.7336364235228","Apruebo Dignidad","Independiente","Independiente - Partido Igualdad (PI)","Hasta 44","Hombre","Educacion Superior"
"518","Libertad angela Mendez Nunez","0","-1.76225029412064","Apruebo Dignidad","Militante de Partido","Comunes (COM)","Hasta 44","Mujer","Educacion Superior"
"519","Daniel Francisco Andrade Schwarze","0","-1.21091842566721","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","Hasta 44","Hombre","Educacion Superior"
"520","Mariana Carolina Gonzalez Vicencio","0","-1.3456313212467","Independientes Sin Padrinos","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"521","Claudia Lubi Montecinos","0","-1.37380657445063","Independientes Sin Padrinos","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"522","Luis Mariano Rendon Escobar","0","-1.77179687520092","Independientes Sin Padrinos","Independiente","null","45+","Hombre","Educacion Superior"
"523","Varinia Yuseth Aravena Perez","0","-1.61297780573636","Partido Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","Educacion Superior"
"524","Karin Arevalo Jimenez","0","-0.856488967581559","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","45+","Mujer","Educacion Superior"
"525","Joel Rossa Gonzalez","0","-0.671961499488197","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"526","Andrea Alejandra Quinteros Santis","0","-1.62719151775852","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"527","Enrique Campino Larrain","0","1.01080049379874","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","45+","Hombre","Educacion Superior"
"528","Karina Torres Fuentes","0","0.781013932844611","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"529","Claudia Mabel Castro Gutierrez","1","-0.0682061515972236","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"530","Maria Jose Becerra Moro","0","-1.41121852101635","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"531","Diego Eduardo Calderon Gajardo","0","-1.34882818994835","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Hombre","Educacion Superior"
"532","Camila Briceno Carrasco","0","-1.32925060575333","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Mujer","Educacion Superior"
"533","Denisse Elizabeth Martel Jorquera","0","-1.3763112890037","Lista del Apruebo","Independiente","Independiente - Partido Radical (PR)","Hasta 44","Mujer","Educacion Superior"
"534","Sandra Katrin Saavedra Lowenberger","0","-1.13870422775592","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","Hasta 44","Mujer","Educacion Superior"
"535","Ignacio Jaime Achurra Diaz","1","-0.622390847915592","Apruebo Dignidad","Militante de Partido","Convergencia Social (CS)","Hasta 44","Hombre","Educacion Superior"
"536","Camila Fernanda Musante Muller","0","-1.20305006621171","Apruebo Dignidad","Independiente","Independiente - Revolucion Democratica (RD)","Hasta 44","Mujer","Educacion Superior"
"537","Carlos Andres Poblete Galvez","0","-1.75803988834083","Apruebo Dignidad","Militante de Partido","Partido Igualdad (PI)","Hasta 44","Hombre","Educacion Superior"
"538","Camila Isidora Navarro Vargas","0","-1.33528222594462","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","Hasta 44","Mujer","Educacion Media"
"539","Sebastian Jose Aylwin Correa","0","-1.69434706801434","Apruebo Dignidad","Militante de Partido","Comunes (COM)","Hasta 44","Hombre","Educacion Superior"
"540","Rodrigo Urzua Chavez","0","-1.49844490566498","La Lista del Pueblo Distrito 14","Independiente","null","Hasta 44","Hombre","Educacion Media"
"541","Angelo Perrotta Massu","0","-1.15886666637829","Independientes por la Nueva Constitucion","Independiente","null","Hasta 44","Hombre","Educacion Media"
"542","Carmen Lilian Alarcon Alarcon","0","-1.28574835337908","Movimientos Sociales Autonomos","Independiente","null","45+","Mujer","Educacion Media"
"543","Alvin Antonio Saldana Munoz","1","0.299260881374237","Movimientos Sociales Autonomos","Independiente","null","Hasta 44","Hombre","Educacion Superior"
